year,state,fertility_rate,party_fct,Female,Male,pct
2007,MA,57.4,Dem,769.23,1198,0.6420951585976628
2007,MI,62.33,Dem,634.7049999999999,950,0.6681105263157894
2007,MN,69.43,Dem,726.5,1000,0.7265
2007,MS,76.26,Rep,500,750,0.6666666666666666
2007,MO,68.88,Rep,576.92,850,0.6787294117647058
2007,MT,68.74,Rep,556.9,750,0.7425333333333333
2007,NE,75.96,Rep,600,865.38,0.6933370311308327
2007,NV,76.43,Dem,680,939,0.724174653887114
2007,NH,54.27,Dem,700,1000,0.7
2007,NJ,65.85,Dem,820.6800000000001,1192.3,0.6883166988174118
2007,NM,77,Dem,600,950,0.631578947368421
2007,NY,62.29,Dem,730.76,961.53,0.7599970879743742
2007,NC,68.61,Rep,600,800,0.75
2007,ND,68.97,Rep,560,759.515,0.7373126271370546
2007,OH,65.78,Rep,625,863.2,0.7240500463392029
2007,OK,75.69,Rep,560,769.23,0.728000728000728
2007,OR,66.37,Dem,650.7,961.53,0.6767339552588063
2007,PA,61.04,Dem,642.4,880,0.73
2007,RI,55.88,Dem,730.76,1000,0.73076
2007,SC,68.67,Rep,557.69,800,0.6971125
2007,SD,80.47,Rep,576,740.265,0.7780997345545176
2007,TN,68.19,Rep,560,769,0.7282184655396619
2007,TX,79.22,Rep,600,850,0.7058823529411765
2007,UT,95.67,Rep,600,880,0.6818181818181818
2007,VT,53.19,Dem,646.4,848.075,0.7621967396751466
2007,VA,66.27,Dem,711.53,1000,0.71153
2007,WA,66.7,Dem,751.6,1015,0.7404926108374384
2007,WV,63.23,Rep,560,840,0.6666666666666666
2007,WI,65.01,Dem,662,865.38,0.7649818576810188
2007,WY,76.49,Rep,560,961,0.5827263267429761
2008,AL,67.19,Rep,576.92,822.9,0.7010815408919674
2008,AK,81.29,Rep,769.23,1161.2,0.6624440234240441
2008,AZ,78.97,Rep,700,967.1,0.7238134629304105
2008,AR,71.46,Rep,596.15,700,0.8516428571428571
2008,CA,70.48,Dem,840,1153.84,0.7280038826873744
2008,CO,69.13,Dem,769,1057.69,0.7270561317588329
2008,CT,57.78,Dem,884.61,1200,0.737175
2008,DE,67.17,Dem,720,980,0.7346938775510204
2008,DC,59.73,Dem,961,1250,0.7688
2008,FL,64.74,Rep,673,920,0.7315217391304348
2008,GA,70.8,Rep,640,961,0.6659729448491155
2008,HI,74.78,Dem,756,961.53,0.786246918972887
2008,ID,82.52,Rep,600,820,0.7317073170731707
2008,IL,66.75,Dem,673,1000,0.673
2008,IN,68.49,Rep,646.15,900,0.7179444444444444
2008,IA,69.44,Neutral,646.5,900,0.7183333333333334
2008,KS,75.56,Rep,621.5350000000001,946.15,0.6569095809332559
2008,KY,67.72,Rep,556.4,800,0.6955
2008,LA,70.9,Rep,600,932,0.6437768240343348
2008,ME,54.54,Dem,615.69,864,0.7126041666666667
2008,MD,64.58,Dem,859.5,1153.84,0.7449039728211885
2008,MA,56.82,Dem,817,1250,0.6536
2008,MI,61.37,Dem,690,989.6,0.6972514147130153
2008,MN,68.55,Dem,751.25,1000,0.75125
2008,MS,73.86,Rep,512.6800000000001,769,0.6666840052015606
2008,MO,68.37,Rep,600,848.075,0.7074845974707425
2008,MT,69.55,Rep,560,807.845,0.6932022850918184
2008,NE,76.3,Rep,634,875,0.7245714285714285
2008,NV,72.09,Dem,686,1000,0.686
2008,NH,53.17,Dem,713.5,1057.6,0.67464069591528
2008,NJ,64.31,Dem,807.69,1195.2,0.6757781124497992
2008,NM,76.08,Dem,633.355,855.575,0.7402682406568681
2008,NY,61.63,Dem,750,1000,0.75
2008,NC,67.66,Rep,620,840,0.7380952380952381
2008,ND,70.03,Rep,576.92,807.69,0.7142839455731778
2008,OH,65.47,Rep,634,850,0.7458823529411764
2008,OK,75.18,Rep,615,817.15,0.7526157988129475
2008,OR,65.53,Dem,669.23,923.07,0.7250046042011982
2008,PA,60.67,Dem,680,912,0.7456140350877193
2008,RI,55.11,Dem,730,1070,0.6822429906542056
2008,SC,68.17,Rep,576.92,800,0.72115
2008,SD,79.48,Rep,600,759.05,0.7904617614122917
2008,TN,67.09,Rep,576,769.23,0.7488007488007488
2008,TX,77.84,Rep,621.5,883,0.703850509626274
2008,UT,94.8,Rep,641.6600000000001,923.07,0.6951368801932681
2008,VT,52.49,Dem,673,865.38,0.777693036585084
2008,VA,64.88,Dem,742,1045,0.71004784688995215
2008,WA,67.26,Dem,780,1080,0.7222222222222222
2008,WV,62.28,Rep,560,860,0.6511627906976745
2008,WI,65.02,Dem,655.5,920,0.7125
2008,WY,76.97,Rep,634.61,992.15,0.6396311041677166
2009,AL,64.94,Rep,640,902.22,0.7093613531067811
2009,AK,79.46,Rep,800,1153.84,0.6933370311308328
2009,AZ,73.5,Rep,692.3,1053,0.65745489078822406
2009,AR,69.97,Rep,585.625,680,0.8612132352941176
2009,CA,67.12,Dem,873.7,1153.84,0.7572107051237608
2009,CO,67.24,Dem,769.23,1043,0.73751677852349
2009,CT,55.97,Dem,954.425,1250,0.76354
2009,DE,64.36,Dem,730.76,961,0.7604162330905306
2009,DC,57.44,Dem,1057.69,1634,0.6473011015911873
2009,FL,62.17,Rep,673.07,903.4200000000001,0.7450244625976844
2009,GA,68.15,Rep,692.3,929.5350000000001,0.7447809926468609
2009,HI,72.3,Dem,696.15,961.53,0.7240023712208667
2009,ID,77.58,Rep,600,838,0.7159904534606205
2009,IL,64.81,Dem,673.07,1040,0.6471826923076923
2009,IN,67.15,Rep,645.6,900,0.7173333333333334
2009,IA,68.77,Neutral,680,923.07,0.7366721917081044
2009,KS,74.78,Rep,620,961.53,0.6448056742899337
2009,KY,67.19,Rep,595.61,865.38,0.6882641151863921
2009,LA,70.24,Rep,568,923.07,0.6153379483679461
2009,ME,54.95,Dem,653.84,865.38,0.7555524740576395
2009,MD,62.95,Dem,865.38,1090,0.7939266055045872
2009,MA,55.41,Dem,846,1250,0.6768
2009,MI,60.5,Dem,692.3,973.5,0.7111453518233178
2009,MN,67.25,Dem,769.23,1014.5,0.7582355840315427
2009,MS,70.8,Rep,520,769.23,0.676000676000676
2009,MO,66.87,Rep,600,865.38,0.6933370311308327
2009,MT,68.13,Rep,576.92,793.75,0.7268283464566928
2009,NE,76.07,Rep,656.9200000000001,920,0.7140434782608697
2009,NV,68.4,Dem,715.765,1000,0.715765
2009,NH,52.85,Dem,750,1059,0.7082152974504249
2009,NJ,63.27,Dem,903.84,1288.5,0.7014668218859139
2009,NM,73.01,Dem,653.84,961,0.6803746097814777
2009,NY,61.2,Dem,769.23,1032,0.7453779069767442
2009,NC,65.15,Rep,673,826.92,0.8138634934455571
2009,ND,70.09,Rep,584,850,0.6870588235294117
2009,OH,64.32,Rep,650,896,0.7254464285714286
2009,OK,74.45,Rep,600.8,800,0.7509999999999999
2009,OR,62.6,Dem,665,1000,0.665
2009,PA,59.73,Dem,675,943.6,0.715345485375159
